Domain,MBFC,MBFC factual,BF,FC,PF,WI,Site Rank,Yr online,Name,Media Bias/Fact Check page,Wikipedia article,HTTP,URL,lang,hflag,iffy,Lists
consumerwellness.org,CP,VL,,,,,4350479,,Consumer Wellness Center,https://mediabiasfactcheck.com/consumer-wellness-center/,,200,https://consumerwellness.org/,en,,1,1
corbettreport.com,CP,L,,,,,93466,,The Corbett Report,https://mediabiasfactcheck.com/the-corbett-report/,,200,https://www.corbettreport.com/,en,,1,1
cosmicintelligenceagency.com,CP,L,,,,,237380,2005,Cosmic Intelligence Agency,https://mediabiasfactcheck.com/cosmic-intelligence-agency/,,200,https://cosmicintelligenceagency.com/,en,1,1,1
counterpsyops.com,CP,M,,,,,8299903,2011,CounterPsyOps,https://mediabiasfactcheck.com/counterpsyops/,,200,https://counterpsyops.com/,en,1,,1
counterthink.com,CP,VL,,,,,6181565,,CounterThink.com,https://mediabiasfactcheck.com/counterthink-com/,https://en.wikipedia.org/wiki/Natural_News,200,https://counterthink.com/,en,,1,1
creation.com,CP,L,,,,,55961,1995,Christian Ministries International,https://mediabiasfactcheck.com/christian-ministries-international/,,200,https://creation.com/,en,,1,1
csglobe.com,CP,L,,,,,1263204,2013,CS Globe,https://mediabiasfactcheck.com/cs-globe/,,406,https://csglobe.com/,en,,1,1
curiousmindmagazine.com,CP,L,,,,,122023,2015,Curious Mind Magazine,https://mediabiasfactcheck.com/curious-mind-magazine/,,200,https://curiousmindmagazine.com/,en,,1,1
daily-vine.com,,,,1,,,5097256,2018,Daily Vine,,,200,https://daily-vine.com/,en,,,1
dailybuzzlive.com,FN,VL,,,fake-news,1,1425259,2013,Daily Buzz Live,https://mediabiasfactcheck.com/daily-buzz-live/,https://en.wikipedia.org/wiki/The_Daily_Buzz,200,https://dailybuzzlive.com/,en,,1,3
dailygrail.com,CP,M,,,,,724153,1999,Daily Grail,https://mediabiasfactcheck.com/daily-grail/,,200,https://www.dailygrail.com/,en,,,1
dailyheadlines.net,FN,L,,,,,428808,2014,Daily Headlines,https://mediabiasfactcheck.com/daily-headlines/,,200,http://dailyheadlines.net/,en,,1,1
dailyhealthpost.com,CP,L,,,,,142158,2012,DailyHealthPost,https://mediabiasfactcheck.com/dailyhealthpost/,,200,https://dailyhealthpost.com/,en,,1,1
dailyoccupation.com,CP,L,,,,,722179,2016,Daily Occupation,https://mediabiasfactcheck.com/daily-occupation/,,200,https://dailyoccupation.com/,en,,1,1
dailypoliticalnewswire.com,FN,M,,,,,352105,2016,Daily Political Newswire,https://mediabiasfactcheck.com/daily-political-newswire/,,200,https://dailypoliticalnewswire.com/,en,,,1
dailystar.co.uk,FN,M,,,,,3185,1996,Daily Star UK,https://mediabiasfactcheck.com/daily-star-uk/,,301,https://dailystar.co.uk/,en,,,1
dailysurge.com,R,M,,,fake-news,,16209212,,Daily Surge,https://mediabiasfactcheck.com/daily-surge/,,200,https://dailysurge.com/,en,,,2
dailyworldupdate.us,S,,1,,,,932265,2018,Daily World Update,https://mediabiasfactcheck.com/daily-world-update/,,200,https://dailyworldupdate.us/,en,,,1
darkjournalist.com,CP,L,,,,,764232,2011,Dark Journalist,https://mediabiasfactcheck.com/dark-journalist/,,200,https://darkjournalist.com/,en,,1,1
dataasylum.com,CP,L,,,,,2507356,2000,Data Asylum,https://mediabiasfactcheck.com/data-asylum/,,200,http://www.dataasylum.com/,en,,1,1
davidharrisjr.com,FN,L,,,,,164309,2016,David Harris Jr,https://mediabiasfactcheck.com/davidharrisjr-com/,,200,https://davidharrisjr.com/,en,,1,1
davidicke.com,CP,VL,,,,,36009,1997,David Icke,https://mediabiasfactcheck.com/david-icke/,,200,https://www.davidicke.com/,en,,1,1
davidwolfe.com,CP,M,,,,,78507,1999,David Wolfe,https://mediabiasfactcheck.com/david-wolfe/,https://en.wikipedia.org/wiki/David_Wolfe,200,https://www.davidwolfe.com/,en,,,1
dcbluedot.com,FN,M,,,,,20000000,2018,DC Blue Dot,https://mediabiasfactcheck.com/dc-blue-dot/,,200,https://dcbluedot.com/,en,,,1
dcclothesline.com,FN,L,,,,,144327,2013,The DC Clothesline,https://mediabiasfactcheck.com/the-d-c-clothesline/,,200,https://www.dcclothesline.com/,en,,1,1
dcdirtylaundry.com,FN,VL,,,,,78280,2018,DC Dirty Laundry,https://mediabiasfactcheck.com/dc-dirty-laundry/,,200,https://dcdirtylaundry.com/,en,,1,1
dcgazette.com,FN,L,,,,1,3708726,2014,DC Gazette,https://mediabiasfactcheck.com/dc-gazette/,https://en.wikipedia.org/wiki/List_of_fake_news_websites,406,https://dcgazette.com/,en,,1,2
debka.com,FN,M,,,,,35567,2000,DEBKAfile,https://mediabiasfactcheck.com/debkafile/,https://en.wikipedia.org/wiki/Debkafile,200,https://www.debka.com/,en,,,1
decaturtimes.com,FN,M,,,,,2310667,2019,Decatur Times,https://mediabiasfactcheck.com/decatur-times/,,200,https://decaturtimes.com/,en,,,1
deepleftfield.info,FN,M,,,,,613479,2014,Deep Left Field,https://mediabiasfactcheck.com/deep-left-field/,,200,https://deepleftfield.info/,en,,,1
defiantamerica.com,FN,L,,,,,2691233,2016,Defiant America,https://mediabiasfactcheck.com/defiant-america/,,200,https://defiantamerica.com/,en,,1,1
democraticunderground.com,L,M,,,fake-news,,19913,2000,Democratic Underground,https://mediabiasfactcheck.com/democratic-underground/,https://en.wikipedia.org/wiki/Democratic_Underground,200,https://democraticunderground.com/,en,1,,2
democrats.org,FN,M,,,,,20000000,,Democratic National Committee,https://mediabiasfactcheck.com/democratic-national-committee-dnc/,https://en.wikipedia.org/wiki/Democratic_National_Committee,200,https://democrats.org/,en,,,1
deplorablekel.com,FN,L,,,,,467402,2017,Deplorable Kel,https://mediabiasfactcheck.com/deplorable-kel/,,200,https://deplorablekel.com/,en,,1,1
digifection.com,FN,L,,,,,658363,2016,The Times of America,https://mediabiasfactcheck.com/the-times-of-america/,,200,http://www.digifection.com/,en,,1,1
disclose.tv,CP,L,,,fake-news,1,27647,2007,Disclose TV,https://mediabiasfactcheck.com/disclose-tv/,https://en.wikipedia.org/wiki/List_of_fake_news_websites,403,https://www.disclose.tv/,en,1,1,3
discoverthenetworks.org,FN,L,,,,,689724,2005,Discover the Networks,https://mediabiasfactcheck.com/discover-the-networks/,https://en.wikipedia.org/wiki/Discover_the_Networks,200,https://www.discoverthenetworks.org/,en,,1,1
discovery.org,CP,L,,,,,393423,1995,Discovery Institute,https://mediabiasfactcheck.com/discovery-institute/,https://en.wikipedia.org/wiki/Discovery_Institute,200,https://www.discovery.org/,en,,1,1
disobedientmedia.com,CP,M,,,,,20000000,2016,Disobedient Media,https://mediabiasfactcheck.com/disobedient-media/,,200,https://disobedientmedia.com/,en,,,1
distributednews.com,CP,VL,,,,,138257,,Hang The Censors,https://mediabiasfactcheck.com/distributed-news/,,200,https://distributednews.com/,en,2,1,1
djhjmedia.com,FN,L,,,,,37321,2019,BitChute,https://mediabiasfactcheck.com/djhj-media/,,200,https://djhjmedia.com/,en,,1,1
dnyuz.com,FN,M,,,,,30995,2018,Dnyuz,https://mediabiasfactcheck.com/dnyuz/,,200,https://dnyuz.com/,en,,,1
doctoroz.com,CP,M,,,,,52098,2003,DoctorOz.com (Dr. Oz),https://mediabiasfactcheck.com/doctoroz-com/,https://en.wikipedia.org/wiki/Mehmet_Oz,200,https://www.doctoroz.com/,en,,,1
draxe.com,CP,M,,,,,12077,,Dr. Axe,https://mediabiasfactcheck.com/dr-axe/,,200,https://draxe.com/,en,,,1
earthpulse.com,CP,L,,,,,3286750,1996,Earthpulse Press,https://mediabiasfactcheck.com/earthpulse-press/,,200,https://earthpulse.com/,en,,1,1
ecalabamanews.com,FN,M,,,,,20000000,2019,East Central Alabama News,https://mediabiasfactcheck.com/east-central-alabama-news/,,200,https://ecalabamanews.com/,en,,,1
ecology.news,CP,VL,,,,,4189190,2015,Ecology News,https://mediabiasfactcheck.com/ecology-news/,https://en.wikipedia.org/wiki/Natural_News,200,https://ecology.news/,en,,1,1
economictimes.indiatimes.com,FN,M,,,,,131,1996,The Economic Times,https://mediabiasfactcheck.com/the-economic-times/,https://en.wikipedia.org/wiki/The_Economic_Times,200,https://economictimes.indiatimes.com/,en,,,1
educate-yourself.org,CP,VL,,,,,189941,1999,Educate Yourself,https://mediabiasfactcheck.com/educate-yourself/,,200,https://educate-yourself.org/,en,,1,1
educateinspirechange.org,CP,M,,,,,294654,2013,Educate Inspire Change,https://mediabiasfactcheck.com/educate-inspire-change/,,406,https://educateinspirechange.org/,en,,,1
